Regional_Districts,Name,Population,Density,Hospitals,Wildlife,Bears,Goats,Caribou,Deer
1,Alberni_Clayoquot,31061,4.7,2,1676,0,700,76,900
2,Bulkley_Nechako,39208,0.53,4,4810,460,1000,1350,2000
3,Capital,359991,153.8,4,850,0,0,50,800
4,Cariboo,62392,0.77,3,12218,718,4000,2000,5500
5,Central_Coast,3206,0.13,2,3360,560,900,900,1000
6,Central_Kootenay,58441,2.6,3,4237,237,3000,600,400
7,Central_Okanagan,179839,61.9,1,1936,86,50,300,1500
8,Columbia_Shuswap,50512,1.7,3,4919,709,3000,210,1000
9,Comox_Valley,63538,37.4,1,352,2,0,50,300
10,Cowichan_Valley,80332,23.1,1,569,2,417,50,100
11,East_Kootenay,56685,2.1,4,3477,266,3000,11,200
12,Fraser_Valley,277593,20.8,4,526,30,10,86,400
13,Fraser_Fort_George,91879,1.8,3,5038,768,1000,2470,800
14,Greater_Vancouver,2313328,802.5,15,400,0,0,50,350
15,Kitimat_Stikine,37361,0.36,4,11001,1201,8000,1650,150
16,Kootenay_Boundary,31138,3.9,2,1276,176,100,300,700
17,Mount_Waddington,11506,0.57,3,5068,501,817,750,3000
18,Nanaimo,146574,71.9,1,967,0,117,50,800
19,North_Okanagan,81237,10.8,1,1584,234,50,400,900
20,Northern_Rockies,5578,0.07,1,6057,1625,1800,2032,600
21,Okanagan_Similkameen,80742,7.8,3,1150,150,50,300,650
22,Peace_River,60082,0.51,2,7034,338,300,1396,5000
23,Powell_River,19906,3.9,1,300,0,0,50,250
24,Skeena_Queen_Charlotte,18784,0.95,3,11035,1035,3000,1500,5500
25,Squamish_Lillooet,38170,2.3,2,1551,115,500,86,850
26,Stikine,629,0.01,0,19014,3664,8000,7000,350
27,Strathcona,43252,2.4,1,2583,116,617,350,1500
28,Sunshine_Coast,28619,7.6,1,1360,10,500,100,750
29,Thompson_Nicola,128473,2.9,3,5388,405,1700,533,2750
